Curriculum,Civil Engineering,,,,,,,,,
Degree Plan,2021-2022, Plan,,,,,,,,
Institution,Univerisity of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Functions for Calculus,MATH,122A,,,,1,,,1
2,First Semester Calculus,MATH,122B,,1,,4,,,1
3,Gen Chemistry I,CHEM,151,,2,,4,,,1
4,First-year Comp,ENGL,101,,,,3,,,1
5,Intro to Engineering,ENGR,102,,,,3,,,1
6,Tier I General Ed,,,,,,3,,,1
7,Calculus II,MATH,129,2,,,3,,,2
8,Intro Biology I,MCB,181R,2,,,4,,,2
9,Intro Mechanics,PHYS,141,2,,,4,,,2
10,First-year Comp,ENGL,102,4,,,3,,,2
11,Tier I General Ed,,,,,,3,,,2
12,Eng Graphics,CE,210,,,,1,,,3
13,Statics,CE,214,9;7,,,3,,,3
14,Vector Calculus,MATH ,223,7,,,4,,,3
15,Electricity & Magnetism,PHYS,241,7;9,,,4,,,3
16,Tier I General Ed,,,,,,3,,,3
17,Mechanics of Solids,CE,215,13,,,3,,,4
18,Mechanics of Fluids,CE,218,13,,,3,,,4
19,Intro. to ODEs,MATH,254,14,,,3,,,4
20,Elementary Surveying,CE ,251,12,,,3,,,4
21,Computer Prog in CE,CE,260,14,,,1,,,4
22,Tier I General Ed,,,,,,3,,,4
23,Eng Communications,CE,301,,,,3,,,5
24,Num Analysis for CE,CE,303,19;21,,,3,,,5
25,Prob & Stats for CE,CE,310,7,,,3,,,5
26,Elem Structural Analysis,CE,333,17,,,3,,,5
27,Tranport Eng and Pavement Design,CE,363,,,,4,,,5
28,Hydraulic Eng and Design,CE,323,18,,,4,,,6
29,Struct Design in Concrete,CE,335,26,,,3,,,6
30,Soil Mechanics,CE,343,17,,,3,,,6
31,Environ and Water Eng,CE,370R,18,,,3,,,6
32,CE lab elective/Fluid Mechanics Lab,CE,329,,18,,1,,,6
33,Eng Sci Module: Dynamics,ENGR,211I,19;13,,,1,,,6
34,Eng Sci Module: Eng Econ,ENGR,211P,7,,,1,,,6
35,Issues in CE Practice,CE,408A,28;29,23,,3,,,7
36,Struct design in Steel,CE,334,26,,,3,,,7
37,Foundation Eng,CE,440,30,,,3,,,7
38,CE Technical Elective,,,,,,3,,,7
39,CE Technical Elective,,,,,,3,,,7
40,CE lab Elective/Solid LAB,CE,349,,30,,1,,,7
41,CE Senior Capstone Design,CE,408B,23;35;28;29;30;27,,,3,,,8
42,CE Technical Elective,,,,,,3,,,8
43,CE Technical Elective,,,,,,3,,,8
44,CE LAB Elective/Materials Testing Lab,CE,389,17,,,1,,,8
45,Tier II General Ed.,,,,,,3,,,8
46,Tier II General Ed.,,,,,,3,,,8
