Curriculum,Chemical Engineering,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
76524,"FYS","","",,,,3,"","",
76525,"MATH2200","","","155791",,,4,"","",
76526,"CHEM1050","","",,"76525",,4,"","",
76527,"LIFE1010","","",,,,4,"","",
76528,"MATH2205","","","76525",,,4,"","",
76529,"CHEM1060","","","76526",,,4,"","",
76530,"PHYS1210","","","76525","76528",,4,"","",
76531,"ENGL1010","","",,,,3,"","",
76532,"CHE1005","","","76525",,,1,"","",
76533,"MATH2210","","","76528",,,4,"","",
76534,"CHEM2420","","","76529",,,4,"","",
76535,"CHE2005","","","76526","76528",,3,"","",
76536,"PHYS1220","","","76528;76525","76533",,4,"","",
76537,"USP COM2","","","76531",,,3,"","",
76538,"MATH2310","","","76528",,,3,"","",
76539,"CHEM2440","","","76534",,,4,"","",
76540,"CHE2060","","","76535;76532","76538",,3,"","",
76541,"CHE2070","","","76533;76535;76530",,,3,"","",
76542,"CHE2080","","","76533;76535;76530","76538",,3,"","",
76543,"CHE3015","","","76540;76541",,,3,"","",
76544,"CHE3026","","","76541;155792",,,3,"","",
76545,"CHEM4507","","","76536;76529;155793",,,3,"","",
76546,"TECH ELECT","","",,,,3,"","",
76547,"TECH ELECT","","",,,,3,"","",
76548,"CHE3028","","","76540;76542",,,3,"","",
76549,"CHE3070","","","76544;76543","76548",,3,"","",
76550,"CHE4060","","","76544;76543","76548",,3,"","",
76551,"USP H","","",,,,3,"","",
76552,"TECH ELECT","","",,,,3,"","",
76553,"CHE3040","","","76548;76544;76550",,,3,"","",
76554,"CHE4070","","","76548;76549;76550",,,4,"","",
76555,"CHE4090","","","76548;76550",,,3,"","",
76556,"USP H","","",,,,3,"","",
76557,"TECH ELECT","","",,,,3,"","",
76558,"CHE4050","","","76553",,,3,"","",
76559,"CHE4080","","","76554;155794",,,4,"","",
76560,"USP V","","",,,,3,"","",
76561,"TECH ELECT","","",,,,3,"","",
76562,"TECH ELECT","","",,,,3,"","",
155791,"MATH1405","","",,,,0,"","",
155792,"CHEM2060","","",,,,0,"","",
155793,"MATH2210M","","",,,,0,"","",
155794,"COM2","","",,,,0,"","",
