Curriculum,Chemical Engineering,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
87505,"CHEM 1314","","",,,,4,"","",
87506,"ENGR 1111","","",,,,1,"","",
87507,"ENGR 1412","","",,,,2,"","",
87508,"MATH 2144","","",,,,4,"","",
87509,"ENGL 1113","","",,,,3,"","",
87510,"HIST 1103","","",,,,3,"","",
87511,"Gen ED","","",,,,3,"","",
87512,"CHEM 1515","","","87505",,,5,"","",
87513,"Gen ED","","",,,,3,"","",
87514,"MATH 2153","","","87508",,,3,"","",
87515,"PHYS 2014","","","87508",,,4,"","",
87516,"Gen ED","","",,,,3,"","",
87517,"CHEM 3053","","","87512",,,3,"","",
87518,"MATH 2233","","","87514",,,3,"","",
87519,"MATH 2163","","","87514",,,3,"","",
87520,"ENSC 2213","","","87515",,,3,"","",
87521,"ENSC 2113","","","156565",,,3,"","",
87522,"CHE 2581","","",,,,1,"","",
87523,"CHEM 3153","","","87517",,,3,"","",
87524,"CHEM 3112","","","156566",,,2,"","",
87525,"CHE 2033","","","87520;87512;87507;87518",,,3,"","",
87526,"PHYS 2114","","",,,,4,"","",
87527,"ENSC 3233","","",,,,3,"","",
87528,"STAT 4033","","","87519",,,3,"","",
87529,"CHE 3013","","","87526;87522;156567;87527;87524;87525",,,3,"","",
87530,"CHE 3473","","","87526;87522;156567;87527;87524;87525",,,3,"","",
87531,"CHE 3333","","","87526;87522;156567;87527;87524;87525",,,3,"","",
87532,"CHE 3581","","","87526;87522;156567;87527;87524;87525",,,1,"","",
87533,"CHEM 3433","","","87512;87526;87514",,,3,"","",
87534,"CHE 4002","","","87529;87530;87532;87531",,,2,"","",
87535,"CHE 3113","","","87529;87530;87532;87531",,,3,"","",
87536,"CHE 3123","","","87529;87530;87532;87531",,,3,"","",
87537,"POLS 1113","","",,,,3,"","",
87538,"ENSC 3313","","","87512",,,3,"","",
87539,"ENGL 1213","","","87509",,,3,"","",
87540,"CHE 4112","","","87535;87536;87534",,,2,"","",
87541,"CHR 4124","","","87535;87536;87534",,,4,"","",
87542,"CHE 4581","","","87535;87536;87534",,,1,"","",
87543,"Gen Ed","","",,,,3,"","",
87544,"3000 level Elective","","",,,,3,"","",
87545,"ENSC 2143","","","87521",,,3,"","",
87546,"CHE 4843","","","156568;87540;87542",,,3,"","",
87547,"CHE 4224","","","156568;87540;87542",,,4,"","",
87548,"3000 level Elective","","",,,,3,"","",
87549,"ENSC 2613","","","87526;87514",,,3,"","",
87550,"Chemical Science Elective","","","87512",,,3,"","",
156565,"PHYS 2113","","",,,,0,"","",
156566,"CHEM 3503","","",,,,0,"","",
156567,"CHEm 3153","","",,,,0,"","",
156568,"CHE 4124","","",,,,0,"","",
