Curriculum,Chemical Engineering (General Emphasis - WHAT-IF TEST), B.S. in Chem. E.,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
144368,"CHEM 201","","",,"144372",,4,"","",
144369,"ECON 102","","",,,,3,"","",
144370,"ENG 101","","",,,,3,"","",
144371,"ENGR 100","","",,,,3,"","",
144372,"MATH 181","","",,,,4,"","",
144373,"CHEM 202","","","144368;144372",,,4,"","",
144374,"ENG 102","","","144370",,,3,"","",
144375,"MATH 182","","","144372",,,4,"","",
144376,"CHE 102","","","144368;144372",,,2,"","",
144377,"PHYS 180","","","144372",,,3,"","",
144378,"PHYS 180L","","",,"144377",,1,"","",
144379,"CH 201","","","144370",,,3,"","",
144380,"CHEM 341","","","144373",,,3,"","",
144381,"MATH 283","","","144375",,,4,"","",
144382,"PHYS 181","","","144375;144377",,,3,"","",
144383,"PHYS 181L","","","144378;144377","144382",,1,"","",
144384,"CH 203","","","144370",,,3,"","",
144385,"CHE 232","","","144376;144372;144373",,,4,"","",
144386,"ENGR 241","","","144377","144375",,3,"","",
144387,"MATH 285","","","144375",,,3,"","",
144388,"Fine Arts CO7","","",,,,3,"","",
144389,"CHE 245","","","144375;144385",,,3,"","",
144390,"CHEM 421","","","144375;144382;144380",,,3,"","",
144391,"ENGR 301","","","144368;144374;144369;144372;160518;144379",,,3,"","",
144392,"ENGR 360","","","144368;144386;144385;144381","144387",,3,"","",
144393,"Diversity & Equity CO10","","",,,,3,"","",
144394,"CHE 361","","","144390;144385;144381",,,3,"","",
144395,"CHE 374","","","144389;144392",,,3,"","",
144396,"CHE 475","","","144368",,,3,"","",
144397,"CHEM 424","","","144390",,,2,"","",
144398,"STAT 352","","","144375",,,3,"","",
144399,"Technical Elective","","",,,,3,"","",
144400,"CHE 440","","","144394;144395",,,3,"","",
144401,"CHE 441","","","144376;144392;144395",,,1,"","",
144402,"CHE 450","","","144374;144395;144379","144404",,3,"","",
144403,"CHE 473","","",,,,3,"","",
144404,"CHE 485","","","144394;144395",,,3,"","",
144405,"Technical Elective","","",,,,2,"","",
144406,"CHE 442","","","144404",,,2,"","",
144407,"CHE 451","","","144389;144401;144394;144400",,,4,"","",
144408,"CHE 482","","","144374;144376;144379;144400;144402",,,3,"","",
144409,"ENGR 490","","",,,,0,"","",
144410,"Technical Elective","","",,,,6,"","",
160518,"CH203","","",,,,0,"","",
