Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 210G,1,,,3,
GOVT 110G,1,,,3,
UNIV 150,1,,,3,
Area V,1,,,3,
COMM 265G,2,,,3,
GOVT 100G,2,,,3,
GOVT 101,2,,,1,
Area III,2,,,4,
Area VI,2,,,3,
Elective,2,,,3,
2nd Writing Course (Area I),3,ENGL 111G,,3,
2nd Language 1,3,,,4,
GOVT Series Elective,3,,,3,
GE Elective,3,,,3,
Elective,3,,,3,
GOVT 300,4,,,3,
GOVT Series Elective,4,,,3,
2nd Language 2,4,2nd Language 1,,4,
Elective,4,,,3,
Elective,4,,,3,
2nd Language 3,5,2nd Language 2,,3,
VWW,5,,,3,
GOVT Series Elective,5,,,3,
GOVT Series Elective,5,,,3,
Elective,5,,,3,
VWW,6,,,3,
2nd Language 4,6,2nd Language 3,,3,
GOVT Elective,6,,,3,
UD Elective,6,,,3,
Elective,6,,,3,
GOVT UD Elective,7,,,3,
UD Elective,7,,,3,
UD Elective,7,,,3,
UD Elective,7,,,3,
UD Elective,7,,,3,
GOVT 415,8,,,2,
GOVT UD Elective,8,,,3,
UD Elective,8,,,3,
UD Elective,8,,,3,
Elective,8,,,1,
